"","year","state_abbr","state_name","population","violent_crime","property_crime","tot_crime"
"1",1979,"US","National",220099000,1208030,11041500,12249530
"2",1979,"AK","Alaska",406000,1994,23193,25187
"3",1979,"AL","Alabama",3769000,15578,144372,159950
"4",1979,"AR","Arkansas",2180000,7984,70949,78933
"5",1979,"AZ","Arizona",2450000,14528,177977,192505
"6",1979,"CA","California",22696000,184087,1511021,1695108
"7",1979,"CO","Colorado",2772000,14472,180984,195456
"8",1979,"CT","Connecticut",3115000,12902,167131,180033
"9",1979,"DC","District of Columbia",656000,10553,45877,56430
"10",1979,"DE","Delaware",582000,3127,34853,37980
"11",1979,"FL","Florida",8860000,73881,607281,681162
"12",1979,"GA","Georgia",5118000,28594,248641,277235
"13",1979,"HI","Hawaii",915000,2651,63664,66315
"14",1979,"IA","Iowa",2903000,5259,119620,124879
"15",1979,"ID","Idaho",905000,2613,35766,38379
"16",1979,"IL","Illinois",11230000,83540,593750,677290
"17",1979,"IN","Indiana",5400000,18254,230223,248477
"18",1979,"KS","Kansas",2369000,8376,107605,115981
"19",1979,"KY","Kentucky",3527000,8748,103548,112296
"20",1979,"LA","Louisiana",4026000,27229,188514,215743
"21",1979,"MA","Massachusetts",5769000,30650,310756,341406
"22",1979,"MD","Maryland",4149000,33007,228159,261166
"23",1979,"ME","Maine",1097000,2221,45030,47251
"24",1979,"MI","Michigan",9208000,56558,509457,566015
"25",1979,"MN","Minnesota",4060000,8973,169376,178349
"26",1979,"MO","Missouri",4868000,25662,214809,240471
"27",1979,"MS","Mississippi",2406000,7786,63447,71233
"28",1979,"MT","Montana",786000,1762,33298,35060
"29",1979,"NC","North Carolina",5606000,25009,220113,245122
"30",1979,"ND","North Dakota",657000,403,17703,18106
"31",1979,"NE","Nebraska",1574000,3556,59295,62851
"32",1979,"NH","New Hampshire",887000,1241,39373,40614
"33",1979,"NJ","New Jersey",7332000,36747,390018,426765
"34",1979,"NM","New Mexico",1241000,7272,64563,71835
"35",1979,"NV","Nevada",702000,5866,56132,61998
"36",1979,"NY","New York",17649000,161906,933234,1095140
"37",1979,"OH","Ohio",10731000,49092,501389,550481
"38",1979,"OK","Oklahoma",2892000,11719,124293,136012
"39",1979,"OR","Oregon",2527000,13781,147264,161045
"40",1979,"PA","Pennsylvania",11731000,39133,370914,410047
"41",1979,"RI","Rhode Island",929000,3485,50114,53599
"42",1979,"SC","South Carolina",2932000,19889,128651,148540
"43",1979,"SD","South Dakota",689000,1096,19297,20393
"44",1979,"TN","Tennessee",4380000,18135,157651,175786
"45",1979,"TX","Texas",13385000,67988,725109,793097
"46",1979,"UT","Utah",1367000,4158,70918,75076
"47",1979,"VA","Virginia",5197000,15642,211014,226656
"48",1979,"VT","Vermont",493000,908,25217,26125
"49",1979,"WA","Washington",3926000,17064,239285,256349
"50",1979,"WI","Wisconsin",4720000,7839,199273,207112
"51",1979,"WV","West Virginia",1878000,3156,40513,43669
"52",1979,"WY","Wyoming",450000,1579,20129,21708
"53",1980,"US","National",225349264,1344520,12063700,13408220
"54",1980,"AK","Alaska",440142,1919,22930,24849
"55",1980,"AL","Alabama",3861466,17320,173191,190511
"56",1980,"AR","Arkansas",2284037,7656,79390,87046
"57",1980,"AZ","Arizona",2715357,17673,204193,221866
"58",1980,"CA","California",23532680,210290,1633042,1843332
"59",1980,"CO","Colorado",2878407,15215,195872,211087
"60",1980,"CT","Connecticut",3095224,12768,169283,182051
"61",1980,"DC","District of Columbia",635233,12772,50896,63668
"62",1980,"DE","Delaware",594779,2824,37482,40306
"63",1980,"FL","Florida",9567112,94095,709730,803825
"64",1980,"GA","Georgia",5400851,29993,272652,302645
"65",1980,"HI","Hawaii",964680,2889,69291,72180
"66",1980,"IA","Iowa",2907804,5826,132200,138026
"67",1980,"ID","Idaho",943629,2957,42169,45126
"68",1980,"IL","Illinois",11355062,91753,620107,711860
"69",1980,"IN","Indiana",5461103,20633,248619,269252
"70",1980,"KS","Kansas",2354783,9168,117492,126660
"71",1980,"KY","Kentucky",3641479,9711,115328,125039
"72",1980,"LA","Louisiana",4199542,27926,201106,229032
"73",1980,"MA","Massachusetts",5728288,34444,313787,348231
"74",1980,"MD","Maryland",4192211,35735,242214,277949
"75",1980,"ME","Maine",1123670,2173,46904,49077
"76",1980,"MI","Michigan",9228128,59014,557051,616065
"77",1980,"MN","Minnesota",4061235,9250,185668,194918
"78",1980,"MO","Missouri",4901288,27177,239115,266292
"79",1980,"MS","Mississippi",2511491,8588,77234,85822
"80",1980,"MT","Montana",781592,1740,37531,39271
"81",1980,"NC","North Carolina",5843665,26589,244585,271174
"82",1980,"ND","North Dakota",652437,352,18984,19336
"83",1980,"NE","Nebraska",1563921,3512,63818,67330
"84",1980,"NH","New Hampshire",919114,1653,41358,43011
"85",1980,"NJ","New Jersey",7342164,44373,425623,469996
"86",1980,"NM","New Mexico",1295474,7967,69490,77457
"87",1980,"NV","Nevada",800312,7304,63556,70860
"88",1980,"NY","New York",17506690,180235,1029749,1209984
"89",1980,"OH","Ohio",10766808,53646,531141,584787
"90",1980,"OK","Oklahoma",3001252,12589,139061,151650
"91",1980,"OR","Oregon",2610477,12802,161759,174561
"92",1980,"PA","Pennsylvania",11824220,43032,398761,441793
"93",1980,"RI","Rhode Island",945835,3864,52249,56113
"94",1980,"SC","South Carolina",3064557,20225,146461,166686
"95",1980,"SD","South Dakota",688217,873,21447,22320
"96",1980,"TN","Tennessee",4545590,20824,183632,204456
"97",1980,"TX","Texas",14169829,77978,792480,870458
"98",1980,"UT","Utah",1458729,4425,81357,85782
"99",1980,"VA","Virginia",5323412,16355,229587,245942
"100",1980,"VT","Vermont",511299,914,24592,25506
"101",1980,"WA","Washington",4113331,19098,265338,284436
"102",1980,"WI","Wisconsin",4680917,8546,216073,224619
"103",1980,"WV","West Virginia",1930787,3547,45719,49266
"104",1980,"WY","Wyoming",468954,1841,21543,23384
"105",1981,"US","National",229465714,1361820,12061900,13423720
"106",1981,"AK","Alaska",412000,2537,24634,27171
"107",1981,"AL","Alabama",3916000,18423,173411,191834
"108",1981,"AR","Arkansas",2294000,7119,79972,87091
"109",1981,"AZ","Arizona",2793000,16082,196575,212657
"110",1981,"CA","California",24159000,208485,1625302,1833787
"111",1981,"CO","Colorado",2963000,15755,202119,217874
"112",1981,"CT","Connecticut",3132000,14033,168790,182823
"113",1981,"DC","District of Columbia",636000,14468,53442,67910
"114",1981,"DE","Delaware",598000,3044,36958,40002
"115",1981,"FL","Florida",10166000,98109,718470,816579
"116",1981,"GA","Georgia",5569000,30527,282926,313453
"117",1981,"HI","Hawaii",979000,2424,61636,64060
"118",1981,"IA","Iowa",2897000,5915,130723,136638
"119",1981,"ID","Idaho",959000,2717,40733,43450
"120",1981,"IL","Illinois",11455000,90781,609767,700548
"121",1981,"IN","Indiana",5466000,18672,229472,248144
"122",1981,"KS","Kansas",2381000,8796,119880,128676
"123",1981,"KY","Kentucky",3661000,10599,118690,129289
"124",1981,"LA","Louisiana",4305000,27478,199295,226773
"125",1981,"MA","Massachusetts",5770000,36273,300428,336701
"126",1981,"MD","Maryland",4261000,37800,241625,279425
"127",1981,"ME","Maine",1132000,2214,45820,48034
"128",1981,"MI","Michigan",9201000,59058,571582,630640
"129",1981,"MN","Minnesota",4090000,9344,184387,193731
"130",1981,"MO","Missouri",4938000,26675,237575,264250
"131",1981,"MS","Mississippi",2530000,7706,81789,89495
"132",1981,"MT","Montana",792000,2004,37746,39750
"133",1981,"NC","North Carolina",5951000,25986,243012,268998
"134",1981,"ND","North Dakota",658000,444,19237,19681
"135",1981,"NE","Nebraska",1576000,2861,62977,65838
"136",1981,"NH","New Hampshire",935000,1375,39034,40409
"137",1981,"NJ","New Jersey",7401000,46674,410693,457367
"138",1981,"NM","New Mexico",1327000,8913,73369,82282
"139",1981,"NV","Nevada",845000,7575,65027,72602
"140",1981,"NY","New York",17594000,188178,1026757,1214935
"141",1981,"OH","Ohio",10776000,53509,533498,587007
"142",1981,"OK","Oklahoma",3098000,13223,136637,149860
"143",1981,"OR","Oregon",2647000,12671,173596,186267
"144",1981,"PA","Pennsylvania",11864000,44104,392872,436976
"145",1981,"RI","Rhode Island",952000,4205,51504,55709
"146",1981,"SC","South Carolina",3166000,20275,148127,168402
"147",1981,"SD","South Dakota",685000,718,19922,20640
"148",1981,"TN","Tennessee",4610000,19019,179737,198756
"149",1981,"TX","Texas",14755000,78560,814163,892723
"150",1981,"UT","Utah",1516000,4527,82643,87170
"151",1981,"VA","Virginia",5426000,17456,235984,253440
"152",1981,"VT","Vermont",515000,659,25404,26063
"153",1981,"WA","Washington",4212000,18839,265135,283974
"154",1981,"WI","Wisconsin",4739000,8904,216997,225901
"155",1981,"WV","West Virginia",1951000,3410,47681,51091
"156",1981,"WY","Wyoming",492000,2116,23133,25249
"157",1982,"US","National",231664458,1322390,11652000,12974390
"158",1982,"AK","Alaska",438000,2732,24479,27211
"159",1982,"AL","Alabama",3943000,17653,165048,182701
"160",1982,"AR","Arkansas",2291000,7438,81259,88697
"161",1982,"AZ","Arizona",2860000,14785,189161,203946
"162",1982,"CA","California",24724000,201429,1599827,1801256
"163",1982,"CO","Colorado",3045000,15354,200230,215584
"164",1982,"CT","Connecticut",3153000,12597,158532,171129
"165",1982,"DC","District of Columbia",631000,13397,52295,65692
"166",1982,"DE","Delaware",602000,3370,35067,38437
"167",1982,"FL","Florida",10416000,93411,684166,777577
"168",1982,"GA","Georgia",5639000,26963,267097,294060
"169",1982,"HI","Hawaii",994000,2542,62906,65448
"170",1982,"IA","Iowa",2905000,5018,115148,120166
"171",1982,"ID","Idaho",965000,2501,36902,39403
"172",1982,"IL","Illinois",11448000,88644,579954,668598
"173",1982,"IN","Indiana",5471000,16444,225894,242338
"174",1982,"KS","Kansas",2408000,8088,111156,119244
"175",1982,"KY","Kentucky",3667000,11550,119304,130854
"176",1982,"LA","Louisiana",4362000,29185,202489,231674
"177",1982,"MA","Massachusetts",5781000,33031,285140,318171
"178",1982,"MD","Maryland",4265000,36254,220174,256428
"179",1982,"ME","Maine",1133000,1847,41884,43731
"180",1982,"MI","Michigan",9109000,59806,558195,618001
"181",1982,"MN","Minnesota",4133000,9062,175048,184110
"182",1982,"MO","Missouri",4951000,25078,219888,244966
"183",1982,"MS","Mississippi",2551000,7515,83622,91137
"184",1982,"MT","Montana",801000,1801,32908,34709
"185",1982,"NC","North Carolina",6019000,26865,246593,273458
"186",1982,"ND","North Dakota",670000,414,17328,17742
"187",1982,"NE","Nebraska",1586000,3641,59019,62660
"188",1982,"NH","New Hampshire",951000,1187,35229,36416
"189",1982,"NJ","New Jersey",7438000,45175,377016,422191
"190",1982,"NM","New Mexico",1359000,9982,79816,89798
"191",1982,"NV","Nevada",881000,7096,62512,69608
"192",1982,"NY","New York",17659000,174833,967369,1142202
"193",1982,"OH","Ohio",10791000,47126,485468,532594
"194",1982,"OK","Oklahoma",3177000,14103,151814,165917
"195",1982,"OR","Oregon",2649000,12529,161444,173973
"196",1982,"PA","Pennsylvania",11865000,42767,366903,409670
"197",1982,"RI","Rhode Island",958000,3849,47539,51388
"198",1982,"SC","South Carolina",3203000,23061,148657,171718
"199",1982,"SD","South Dakota",691000,684,17592,18276
"200",1982,"TN","Tennessee",4651000,19586,185692,205278
"201",1982,"TX","Texas",15280000,88178,874799,962977
"202",1982,"UT","Utah",1554000,4440,78451,82891
"203",1982,"VA","Virginia",5491000,16970,216713,233683
"204",1982,"VT","Vermont",516000,655,23555,24210
"205",1982,"WA","Washington",4245000,17251,249429,266680
"206",1982,"WI","Wisconsin",4765000,9077,202447,211524
"207",1982,"WV","West Virginia",1948000,3405,45514,48919
"208",1982,"WY","Wyoming",502000,1527,22589,24116
"209",1983,"US","National",233791994,1258087,10850543,12108630
"210",1983,"AK","Alaska",479000,2940,25889,28829
"211",1983,"AL","Alabama",3959000,16471,145890,162361
"212",1983,"AR","Arkansas",2328000,6930,74563,81493
"213",1983,"AZ","Arizona",2963000,14642,174740,189382
"214",1983,"CA","California",25174000,194491,1486487,1680978
"215",1983,"CO","Colorado",3139000,14955,193070,208025
"216",1983,"CT","Connecticut",3138000,11767,144437,156204
"217",1983,"DC","District of Columbia",623000,11933,45843,57776
"218",1983,"DE","Delaware",606000,2746,30378,33124
"219",1983,"FL","Florida",10680000,88292,635934,724226
"220",1983,"GA","Georgia",5732000,26179,232062,258241
"221",1983,"HI","Hawaii",1023000,2579,56853,59432
"222",1983,"IA","Iowa",2905000,5262,108587,113849
"223",1983,"ID","Idaho",989000,2361,35872,38233
"224",1983,"IL","Illinois",11486000,83629,552857,636486
"225",1983,"IN","Indiana",5479000,15547,210725,226272
"226",1983,"KS","Kansas",2425000,7919,101928,109847
"227",1983,"KY","Kentucky",3714000,11967,115602,127569
"228",1983,"LA","Louisiana",4438000,28444,194636,223080
"229",1983,"MA","Massachusetts",5767000,33264,255707,288971
"230",1983,"MD","Maryland",4304000,34736,195828,230564
"231",1983,"ME","Maine",1146000,1829,40357,42186
"232",1983,"MI","Michigan",9069000,64993,522450,587443
"233",1983,"MN","Minnesota",4144000,7909,159268,167177
"234",1983,"MO","Missouri",4970000,23718,201418,225136
"235",1983,"MS","Mississippi",2587000,7255,75740,82995
"236",1983,"MT","Montana",817000,1737,36208,37945
"237",1983,"NC","North Carolina",6082000,24911,229540,254451
"238",1983,"ND","North Dakota",680000,365,17828,18193
"239",1983,"NE","Nebraska",1597000,3477,57012,60489
"240",1983,"NH","New Hampshire",959000,1200,30987,32187
"241",1983,"NJ","New Jersey",7468000,41304,344296,385600
"242",1983,"NM","New Mexico",1399000,9608,79175,88783
"243",1983,"NV","Nevada",891000,5838,53871,59709
"244",1983,"NY","New York",17667000,161489,881322,1042811
"245",1983,"OH","Ohio",10746000,42759,441362,484121
"246",1983,"OK","Oklahoma",3298000,13964,148599,162563
"247",1983,"OR","Oregon",2662000,12986,153412,166398
"248",1983,"PA","Pennsylvania",11895000,40782,339321,380103
"249",1983,"RI","Rhode Island",955000,3392,44410,47802
"250",1983,"SC","South Carolina",3264000,20133,135590,155723
"251",1983,"SD","South Dakota",7e+05,840,16993,17833
"252",1983,"TN","Tennessee",4685000,18836,169110,187946
"253",1983,"TX","Texas",15724000,80546,848312,928858
"254",1983,"UT","Utah",1619000,4144,78715,82859
"255",1983,"VA","Virginia",5550000,16236,203632,219868
"256",1983,"VT","Vermont",525000,696,21001,21697
"257",1983,"WA","Washington",4300000,15986,245357,261343
"258",1983,"WI","Wisconsin",4751000,9070,193118,202188
"259",1983,"WV","West Virginia",1965000,3375,44158,47533
"260",1983,"WY","Wyoming",514000,1219,19412,20631
"261",1984,"US","National",235824902,1273282,10608473,11881755
"262",1984,"AK","Alaska",5e+05,3108,27468,30576
"263",1984,"AL","Alabama",3990000,17204,138487,155691
"264",1984,"AR","Arkansas",2349000,7549,71554,79103
"265",1984,"AZ","Arizona",3053000,15756,182670,198426
"266",1984,"CA","California",25622000,195589,1461731,1657320
"267",1984,"CO","Colorado",3178000,14548,191104,205652
"268",1984,"CT","Connecticut",3154000,12422,133573,145995
"269",1984,"DC","District of Columbia",623000,10725,42799,53524
"270",1984,"DE","Delaware",613000,2671,28021,30692
"271",1984,"FL","Florida",10976000,95270,653429,748699
"272",1984,"GA","Georgia",5837000,27935,234621,262556
"273",1984,"HI","Hawaii",1039000,2409,54573,56982
"274",1984,"IA","Iowa",2910000,5781,104785,110566
"275",1984,"ID","Idaho",1001000,2355,34398,36753
"276",1984,"IL","Illinois",11511000,83441,527124,610565
"277",1984,"IN","Indiana",5498000,16781,199258,216039
"278",1984,"KS","Kansas",2438000,8147,97646,105793
"279",1984,"KY","Kentucky",3723000,10342,99803,110145
"280",1984,"LA","Louisiana",4462000,30251,197778,228029
"281",1984,"MA","Massachusetts",5798000,30362,235675,266037
"282",1984,"MD","Maryland",4349000,34455,192325,226780
"283",1984,"ME","Maine",1156000,1832,38944,40776
"284",1984,"MI","Michigan",9075000,68979,525979,594958
"285",1984,"MN","Minnesota",4162000,8802,151082,159884
"286",1984,"MO","Missouri",5008000,23071,192123,215194
"287",1984,"MS","Mississippi",2598000,7326,72169,79495
"288",1984,"MT","Montana",824000,1958,36380,38338
"289",1984,"NC","North Carolina",6165000,24885,224437,249322
"290",1984,"ND","North Dakota",686000,368,17354,17722
