"","State","year","count"
"1","National",1978,307276
"2","National",1979,314457
"3","National",1980,329821
"4","National",1981,369930
"5","National",1982,413806
"6","National",1983,436855
"7","National",1984,462002
"8","National",1985,502507
"9","National",1986,544972
"10","National",1987,585084
"11","National",1988,627600
"12","National",1989,712364
"13","National",1990,773919
"14","National",1991,825559
"15","National",1992,882500
"16","National",1993,969301
"17","National",1994,1054702
"18","National",1995,1125874
"19","National",1996,1181919
"20","National",1997,1240659
"21","National",1998,1307154
"22","National",1999,1363686
"23","National",2000,1394231
"24","National",2001,1404032
"25","National",2002,1440144
"26","National",2003,1468601
"27","National",2004,1497100
"28","National",2005,1525910
"29","National",2006,1568674
"30","National",2007,1596835
"31","National",2008,1608282
"32","National",2009,1615487
"33","National",2010,1613803
"34","National",2011,1598968
"35","National",2012,1570397
"36","National",2013,1576950
"37","National",2014,1562319
"38","National",2015,1526603
"39","National",2016,1508129
"40","National",2017,1489189
"41","National",2018,1464385
"42","National",2019,1430165
"43","National",2020,1221164
"44","National",2021,1204322
"45","Alaska",1978,712
"46","Alaska",1979,760
"47","Alaska",1980,822
"48","Alaska",1981,1024
"49","Alaska",1982,1322
"50","Alaska",1983,1631
"51","Alaska",1984,1967
"52","Alaska",1985,2329
"53","Alaska",1986,2460
"54","Alaska",1987,2528
"55","Alaska",1988,2588
"56","Alaska",1989,2744
"57","Alaska",1990,2622
"58","Alaska",1991,2706
"59","Alaska",1992,2865
"60","Alaska",1993,2703
"61","Alaska",1994,3292
"62","Alaska",1995,3522
"63","Alaska",1996,3716
"64","Alaska",1997,4165
"65","Alaska",1998,4097
"66","Alaska",1999,3949
"67","Alaska",2000,4173
"68","Alaska",2001,4571
"69","Alaska",2002,4398
"70","Alaska",2003,4527
"71","Alaska",2004,4554
"72","Alaska",2005,4812
"73","Alaska",2006,5069
"74","Alaska",2007,5167
"75","Alaska",2008,5014
"76","Alaska",2009,5285
"77","Alaska",2010,5391
"78","Alaska",2011,5597
"79","Alaska",2012,5633
"80","Alaska",2013,5081
"81","Alaska",2014,5794
"82","Alaska",2015,5338
"83","Alaska",2016,4434
"84","Alaska",2017,4399
"85","Alaska",2018,4380
"86","Alaska",2019,4475
"87","Alaska",2020,4578
"88","Alaska",2021,4639
"89","Alabama",1978,5625
"90","Alabama",1979,5464
"91","Alabama",1980,6543
"92","Alabama",1981,7657
"93","Alabama",1982,9233
"94","Alabama",1983,9856
"95","Alabama",1984,10482
"96","Alabama",1985,11015
"97","Alabama",1986,11710
"98","Alabama",1987,12827
"99","Alabama",1988,12610
"100","Alabama",1989,13907
"101","Alabama",1990,15665
"102","Alabama",1991,16760
"103","Alabama",1992,17453
"104","Alabama",1993,18624
"105","Alabama",1994,19573
"106","Alabama",1995,20718
"107","Alabama",1996,21760
