"","State","year","tot_spending"
"1","United States",1980,211
"2","United States",1981,210
"3","United States",1982,216
"4","United States",1983,226
"5","United States",1984,230
"6","United States",1985,240
"7","United States",1986,252
"8","United States",1987,263
"9","United States",1988,266
"10","United States",1989,266
"11","United States",1990,274
"12","United States",1991,278
"13","United States",1992,288
"14","United States",1993,284
"15","United States",1994,290
"16","United States",1995,296
"17","United States",1996,309
"18","United States",1997,317
"19","United States",1998,329
"20","United States",1999,336
"21","United States",2000,342
"22","United States",2001,346
"23","United States",2002,365
"24","United States",2003,369
"25","United States",2004,371
"26","United States",2005,376
"27","United States",2006,382
"28","United States",2007,393
"29","United States",2008,400
"30","United States",2009,423
"31","United States",2010,415
"32","United States",2011,404
"33","United States",2012,393
"34","United States",2013,391
"35","United States",2014,394
"36","United States",2015,402
"37","United States",2016,410
"38","United States",2017,415
"39","United States",2018,421
"40","United States",2019,426
"41","United States",2020,439
"42","Alabama",1980,146
"43","Alabama",1981,149
"44","Alabama",1982,147
"45","Alabama",1983,156
"46","Alabama",1984,148
"47","Alabama",1985,154
"48","Alabama",1986,165
"49","Alabama",1987,170
"50","Alabama",1988,169
"51","Alabama",1989,177
"52","Alabama",1990,175
"53","Alabama",1991,190
"54","Alabama",1992,203
"55","Alabama",1993,197
"56","Alabama",1994,215
"57","Alabama",1995,214
"58","Alabama",1996,216
"59","Alabama",1997,226
"60","Alabama",1998,248
"61","Alabama",1999,256
"62","Alabama",2000,250
"63","Alabama",2002,258
"64","Alabama",2004,263
"65","Alabama",2005,269
"66","Alabama",2006,289
"67","Alabama",2007,297
"68","Alabama",2008,303
"69","Alabama",2009,336
"70","Alabama",2010,325
"71","Alabama",2011,314
"72","Alabama",2012,298
"73","Alabama",2013,300
"74","Alabama",2014,296
"75","Alabama",2015,312
"76","Alabama",2016,309
"77","Alabama",2017,309
"78","Alabama",2018,305
"79","Alabama",2019,311
"80","Alabama",2020,330
"81","Florida",1980,239
"82","Florida",1981,233
"83","Florida",1982,251
"84","Florida",1983,267
"85","Florida",1984,273
"86","Florida",1985,279
"87","Florida",1986,296
"88","Florida",1987,319
"89","Florida",1988,316
"90","Florida",1989,320
"91","Florida",1990,327
"92","Florida",1991,347
"93","Florida",1992,350
"94","Florida",1993,369
"95","Florida",1994,363
"96","Florida",1995,379
"97","Florida",1996,381
"98","Florida",1997,388
"99","Florida",1998,388
"100","Florida",1999,399
"101","Florida",2000,396
"102","Florida",2002,428
"103","Florida",2004,446
"104","Florida",2005,473
"105","Florida",2006,474
"106","Florida",2007,483
"107","Florida",2008,494
"108","Florida",2009,542
"109","Florida",2010,528
"110","Florida",2011,502
"111","Florida",2012,484
"112","Florida",2013,461
"113","Florida",2014,452
"114","Florida",2015,462
"115","Florida",2016,467
"116","Florida",2017,487
"117","Florida",2018,489
"118","Florida",2019,497
"119","Florida",2020,521
"120","Georgia",1980,150
"121","Georgia",1981,155
"122","Georgia",1982,162
"123","Georgia",1983,173
"124","Georgia",1984,169
"125","Georgia",1985,171
"126","Georgia",1986,186
"127","Georgia",1987,194
"128","Georgia",1988,207
"129","Georgia",1989,217
"130","Georgia",1990,226
"131","Georgia",1991,224
"132","Georgia",1992,218
"133","Georgia",1993,234
"134","Georgia",1994,230
"135","Georgia",1995,236
"136","Georgia",1996,250
