"","State","year","tot_pop","num_pov","perc_in_pov"
"1","Alabama",1980,3831000,810000,21.2
"2","Alabama",1981,3878000,935000,24.1
"3","Alabama",1982,3937000,849000,21.6
"4","Alabama",1983,3950000,909000,23
"5","Alabama",1984,3875000,738000,19.1
"6","Alabama",1985,3981000,821000,20.6
"7","Alabama",1986,4025000,959000,23.8
"8","Alabama",1987,3989000,851000,21.3
"9","Alabama",1988,4015000,775000,19.3
"10","Alabama",1989,4074000,770000,18.9
"11","Alabama",1990,4063000,779000,19.2
"12","Alabama",1991,4178000,786000,18.8
"13","Alabama",1992,4226000,729000,17.3
"14","Alabama",1993,4168000,725000,17.4
"15","Alabama",1994,4299000,704000,16.4
"16","Alabama",1995,4396000,882000,20.1
"17","Alabama",1996,4258000,595000,14
"18","Alabama",1997,4243000,665000,15.7
"19","Alabama",1998,4190000,609000,14.5
"20","Alabama",1999,4388000,668000,15.2
"21","Alabama",2000,4376000,583000,13.3
"22","Alabama",2001,4378000,696000,15.9
"23","Alabama",2002,4432000,640000,14.5
"24","Alabama",2003,4417000,663000,15
"25","Alabama",2004,4508000,762000,16.9
"26","Alabama",2005,4501000,750000,16.7
"27","Alabama",2006,4532000,650000,14.3
"28","Alabama",2007,4566000,662000,14.5
"29","Alabama",2008,4716000,675000,14.3
"30","Alabama",2009,4655000,770000,16.6
"31","Alabama",2010,4717000,812000,17.2
"32","Alabama",2011,4765000,732000,15.4
"33","Alabama",2012,4808000,777000,16.2
"34","Alabama",2013,4779000,843500,17.6
"35","Alabama",2014,4765000,848000,17.8
"36","Alabama",2015,4820000,784000,16.3
"37","Alabama",2016,4821000,782000,16.2
"38","Alabama",2017,4803500,729000,15.15
"39","Alabama",2018,4877000,779000,16
"40","Alabama",2019,4873000,627000,12.9
"41","Alabama",2020,5001000,744000,14.9
"42","Alabama",2021,4961000,787000,15.9
"43","Alabama",2022,4990000,681000,13.6
"44","Alabama",2023,4995000,711000,14.2
"45","Alabama",2024,5042000,822000,16.3
"46","Alaska",1980,379000,36000,9.6
"47","Alaska",1981,403000,36000,9
"48","Alaska",1982,432000,46000,10.6
"49","Alaska",1983,486000,61000,12.6
"50","Alaska",1984,507000,49000,9.6
"51","Alaska",1985,510000,45000,8.7
"52","Alaska",1986,517000,59000,11.4
"53","Alaska",1987,499000,60000,12
"54","Alaska",1988,480000,53000,11
"55","Alaska",1989,488000,51000,10.5
"56","Alaska",1990,499000,57000,11.4
"57","Alaska",1991,525000,62000,11.8
"58","Alaska",1992,572000,58000,10.2
"59","Alaska",1993,570000,52000,9.1
"60","Alaska",1994,592000,61000,10.2
"61","Alaska",1995,630000,45000,7.1
"62","Alaska",1996,657000,54000,8.2
"63","Alaska",1997,640000,56000,8.8
"64","Alaska",1998,641000,60000,9.4
"65","Alaska",1999,630000,48000,7.6
"66","Alaska",2000,620000,47000,7.6
"67","Alaska",2001,632000,54000,8.5
"68","Alaska",2002,632000,56000,8.8
"69","Alaska",2003,643000,62000,9.6
"70","Alaska",2004,648000,59000,9.1
"71","Alaska",2005,657000,66000,10
"72","Alaska",2006,658000,58000,8.9
"73","Alaska",2007,675000,51000,7.6
"74","Alaska",2008,672000,55000,8.2
"75","Alaska",2009,688000,81000,11.7
"76","Alaska",2010,695000,87000,12.5
"77","Alaska",2011,712000,83000,11.7
"78","Alaska",2012,702000,70000,10
"79","Alaska",2013,696000,71500,10.3
"80","Alaska",2014,694000,82000,11.9
"81","Alaska",2015,703000,65000,9.2
"82","Alaska",2016,708000,89000,12.6
"83","Alaska",2017,718000,95000,13.25
"84","Alaska",2018,720000,94000,13.1
"85","Alaska",2019,701000,72000,10.2
"86","Alaska",2020,708000,95000,13.4
"87","Alaska",2021,712000,81000,11.4
"88","Alaska",2022,708000,68000,9.6
"89","Alaska",2023,717000,72000,10.1
"90","Alaska",2024,720000,68000,9.4
"91","Arizona",1980,2774000,354000,12.8
"92","Arizona",1981,2751000,323000,11.7
"93","Arizona",1982,2765000,408000,14.8
"94","Arizona",1983,2875000,469000,16.3
"95","Arizona",1984,3133000,569000,18.2
"96","Arizona",1985,3227000,345000,10.7
"97","Arizona",1986,3386000,484000,14.3
"98","Arizona",1987,3459000,444000,12.8
"99","Arizona",1988,3491000,491000,14.1
"100","Arizona",1989,3556000,502000,14.1
"101","Arizona",1990,3521000,484000,13.7
"102","Arizona",1991,3603000,532000,14.8
"103","Arizona",1992,3851000,607000,15.8
"104","Arizona",1993,4003000,615000,15.4
"105","Arizona",1994,4223000,673000,15.9
"106","Arizona",1995,4337000,7e+05,16.1
"107","Arizona",1996,4786000,980000,20.5
"108","Arizona",1997,4643000,797000,17.2
"109","Arizona",1998,4887000,812000,16.6
"110","Arizona",1999,5057000,616000,12.2
"111","Arizona",2000,5181000,607000,11.7
"112","Arizona",2001,5314000,778000,14.6
"113","Arizona",2002,5424000,735000,13.5
"114","Arizona",2003,5558000,749000,13.5
"115","Arizona",2004,5763000,830000,14.4
"116","Arizona",2005,6025000,917000,15.2
"117","Arizona",2006,6256000,902000,14.4
"118","Arizona",2007,6365000,912000,14.3
"119","Arizona",2008,6529000,1172000,18
"120","Arizona",2009,6508000,1381000,21.2
"121","Arizona",2010,6426000,1208000,18.8
"122","Arizona",2011,6547000,1128000,17.2
"123","Arizona",2012,6642000,1260000,19
"124","Arizona",2013,6588500,1254000,19
"125","Arizona",2014,6657000,1409000,21.2
"126","Arizona",2015,6728000,1156000,17.2
"127","Arizona",2016,6878000,1108000,16.1
"128","Arizona",2017,6985500,938500,13.4
"129","Arizona",2018,7241000,929000,12.8
"130","Arizona",2019,7285000,725000,9.9
"131","Arizona",2020,7203000,783000,10.9
"132","Arizona",2021,7303000,922000,12.6
"133","Arizona",2022,7239000,920000,12.7
"134","Arizona",2023,7210000,861000,11.9
"135","Arizona",2024,7567000,761000,10.1
"136","Arkansas",1980,2249000,484000,21.5
"137","Arkansas",1981,2247000,541000,24.1
"138","Arkansas",1982,2219000,527000,23.8
"139","Arkansas",1983,2283000,492000,21.5
"140","Arkansas",1984,2364000,564000,23.9
"141","Arkansas",1985,2364000,541000,22.9
"142","Arkansas",1986,2342000,499000,21.3
"143","Arkansas",1987,2468000,537000,21.8
"144","Arkansas",1988,2446000,527000,21.6
"145","Arkansas",1989,2419000,442000,18.3
"146","Arkansas",1990,2411000,472000,19.6
"147","Arkansas",1991,2450000,425000,17.3
"148","Arkansas",1992,2463000,430000,17.5
"149","Arkansas",1993,2421000,484000,20
"150","Arkansas",1994,2414000,369000,15.3
"151","Arkansas",1995,2532000,376000,14.9
"152","Arkansas",1996,2606000,449000,17.2
"153","Arkansas",1997,2621000,515000,19.7
