"","State","year","tot_pop","incar_rate","tot_crime_rate","violent_crime_rate","prop_crime_rate","pov_rate","non_white_rate","spending_rate"
"1","Alabama",1980,3831000,170.790916209867,4972.87914382668,452.101279039415,4520.77786478726,21200,32021.4719027141,14600000
"2","Alaska",1980,379000,216.88654353562,6556.46437994723,506.332453825857,6050.13192612137,9600,22488.0033512156,48900000
"3","Arizona",1980,2774000,157.606344628695,7998.05335255948,637.094448449892,7360.95890410959,12800,4810.20654248747,27800000
"4","Arkansas",1980,2249000,129.435304579813,3870.43130280125,340.417963539351,3530.01333926189,21500,16685.0876978512,11100000
"5","California",1980,23750000,103.448421052632,7761.39789473684,885.431578947368,6875.96631578947,11000,14130.4339691994,27200000
"6","Colorado",1980,2869000,91.6347159288951,7357.51132798885,530.324154757755,6827.18717323109,8600,4550.47936052822,22400000
"7","Connecticut",1980,3090000,139.417475728155,5891.61812297735,413.203883495146,5478.4142394822,8300,7476.30333269586,20400000
"8","Delaware",1980,578000,255.017301038062,6973.35640138408,488.581314878893,6484.77508650519,11800,18364.4004584212,22100000
"9","Florida",1980,10100000,205.29702970297,7958.66336633663,931.633663366337,7027.0297029703,16700,18457.4946001635,23900000
"10","Georgia",1980,5243000,232.271600228877,5772.36315086782,572.057982071333,5200.30516879649,13900,20455.0144058236,1.5e+07
"11","Hawaii",1980,954000,103.249475890985,7566.03773584906,302.830188679245,7263.20754716981,8500,65460.1104374944,21100000
"12","Idaho",1980,934000,87.4732334047109,4831.47751605996,316.595289079229,4514.88222698073,14700,1262.24044788151,15300000
"13","Illinois",1980,11260000,105.674955595027,6322.02486678508,814.857904085258,5507.16696269982,12300,16808.1989215822,26100000
"14","Indiana",1980,5490000,121.730418943534,4904.40801457195,375.828779599271,4528.57923497268,11800,8425.12544061898,13600000
"15","Iowa",1980,2868000,86.5062761506276,4812.6220362622,203.138075313808,4609.4839609484,10800,2306.44405508038,14700000
"16","Kansas",1980,2286000,109.09886264217,5540.68241469816,401.049868766404,5139.63254593176,9400,7143.66447402484,14200000
"17","Kentucky",1980,3641000,98.5443559461686,3434.19390277396,266.712441636913,3167.48146113705,19300,7547.81198365559,14900000
"18","Louisiana",1980,4273000,208.02714720337,5359.98127779078,653.545518371168,4706.43575941961,20300,28897.4186566457,19900000
"19","Maine",1980,1077000,75.5803156917363,4556.82451253482,201.764159702878,4355.06035283194,14600,1321.89261810679,13400000
"20","Maryland",1980,4104000,188.377192982456,6772.63645224172,870.735867446394,5901.90058479532,9500,23953.8504191632,2.4e+07
"21","Massachusetts",1980,5725000,55.6331877729258,6082.63755458515,601.64192139738,5480.99563318777,9500,5053.90270684253,23900000
"22","Michigan",1980,9227000,163.910263357538,6676.7638452368,639.579494960442,6037.18435027636,12900,14492.3808044113,26100000
"23","Minnesota",1980,3920000,51.0459183673469,4972.39795918367,235.969387755102,4736.42857142857,8700,2111.874868088,17300000
"24","Mississippi",1980,2429000,160.642239604776,3533.22354878551,353.56113627007,3179.66241251544,24300,31411.0713310408,11800000
"25","Missouri",1980,4800000,119.291666666667,5547.75,566.1875,4981.5625,13000,12083.4875482302,19900000
"26","Montana",1980,774000,95.4780361757106,5073.77260981912,224.806201550388,4848.96640826873,13200,5580.08294183098,16800000
"27","National",1980,224410000,146.972505681565,5974.87634240898,599.135510895236,5375.74083151375,12986.0523149592,274.776049805475,21150000
"28","Nebraska",1980,1532000,94.3864229765013,4394.90861618799,229.242819843342,4165.66579634465,13000,3997.84535487637,1.6e+07
"29","Nevada",1980,840000,218.928571428571,8435.71428571428,869.523809523809,7566.19047619048,8300,8692.68190122414,27100000
"30","New Hampshire",1980,907000,35.9426681367144,4742.11686879824,182.249173098126,4559.86769570011,7000,983.080205538621,15800000
"31","New Jersey",1980,7316000,80.4264625478403,6424.22088572991,606.519956260252,5817.70092946966,9000,12965.7482470971,25700000
"32","New Mexico",1980,1304000,98.0828220858896,5939.95398773006,610.966257668712,5328.98773006135,20600,9537.10913457255,1.9e+07
"33","New York",1980,17320000,125.952655889146,6986.05080831409,1040.61778290993,5945.43302540416,13800,15937.4864963753,30800000
"34","North Carolina",1980,5836000,265.815627141878,4646.57299520219,455.603152844414,4190.96984235778,15000,22707.3819887086,15500000
"35","North Dakota",1980,640000,39.53125,3021.25,55,2966.25,15500,3656.48850949307,13300000
"36","Ohio",1980,10630000,126.89557855127,5501.28880526811,504.666039510818,4996.62276575729,9800,9420.90282069365,17800000
"37","Oklahoma",1980,2916000,164.471879286694,5200.61728395062,431.721536351166,4768.89574759945,13900,12508.5538759251,1.5e+07
"38","Oregon",1980,2684000,118.368107302534,6503.76304023845,476.974664679583,6026.78837555887,11500,4832.33142959671,21300000
"39","Pennsylvania",1980,11670000,70.0171379605827,3785.71550985433,368.740359897172,3416.97514995715,9800,9890.84474728843,18400000
"40","Rhode Island",1980,911000,89.2425905598244,6159.49506037322,424.149286498353,5735.34577387486,10700,3972.59388649823,2e+07
"41","South Carolina",1980,3174000,247.700063011972,5251.60680529301,637.208569628229,4614.39823566478,16800,30838.3353282802,13700000
"42","South Dakota",1980,677000,93.7961595273265,3296.89807976366,128.951255539143,3167.94682422452,18800,6408.74604553643,13500000
"43","Tennessee",1980,4519000,155.388360256694,4524.36379730029,460.809913697721,4063.55388360257,19600,15475.3006160054,14400000
"44","Texas",1980,14330000,208.597348220516,6074.37543614794,544.159106769016,5530.21632937893,15700,12376.9124842214,15400000
"45","Utah",1980,1488000,62.6344086021505,5764.91935483871,297.379032258065,5467.54032258065,10000,2265.68944277256,17800000
"46","Vermont",1980,520000,92.3076923076923,4905,175.769230769231,4729.23076923077,12000,549.700567085301,13400000
"47","Virginia",1980,5204000,171.406610299769,4726.01844734819,314.277478862414,4411.74096848578,12400,18856.3344590222,16400000
"48","Washington",1980,4223000,104.167653327019,6735.40137343121,452.237745678428,6283.16362775278,12700,7139.70398195025,18300000
"49","West Virginia",1980,1952000,64.3954918032787,2523.87295081967,181.71106557377,2342.1618852459,15200,3102.23505165501,10400000
"50","Wisconsin",1980,4724000,84.2506350550381,4754.84758679085,180.906011854361,4573.94157493649,8500,4807.4816461353,21300000
"51","Wyoming",1980,468000,114.102564102564,4996.5811965812,393.376068376068,4603.20512820513,10400,2402.99187211725,26200000
"52","Alabama",1981,3878000,197.447137699845,4946.7251160392,475.064466219701,4471.66064981949,24100,28215.3904783946,14900000
"53","Alaska",1981,403000,254.09429280397,6742.18362282878,629.528535980149,6112.65508684864,9000,23924.4324981149,51600000
"54","Arizona",1981,2751000,189.858233369684,7730.17084696474,584.587422755362,7145.58342420938,11700,5326.89360114524,30100000
"55","Arkansas",1981,2247000,148.108589230085,3875.87894971073,316.822429906542,3559.05651980418,24100,15588.678412313,10900000
"56","California",1981,24110000,121.11986727499,7605.91870593115,864.724180837827,6741.19452509332,13300,16056.2615220312,28200000
"57","Colorado",1981,2958000,93.7119675456389,7365.58485463151,532.62339418526,6832.96146044625,9600,5128.76162636312,21900000
"58","Connecticut",1981,3084000,170.654993514916,5928.11284046693,455.025940337224,5473.0869001297,8200,7315.23523017012,19600000
"59","Delaware",1981,587000,291.652470187394,6814.65076660988,518.568994889268,6296.08177172061,12300,15974.1547361621,2.3e+07
"60","Florida",1981,10280000,229.464980544747,7943.37548638132,954.367704280156,6989.00778210117,16600,18061.5170023165,23300000
"61","Georgia",1981,5415000,229.806094182825,5788.60572483841,563.748845798707,5224.8568790397,16300,21354.0242775897,15500000
"62","Hawaii",1981,953000,126.652675760755,6721.93074501574,254.354669464848,6467.57607555089,11300,69335.7784675765,21200000
"63","Idaho",1981,962000,99.4802494802495,4516.63201663202,282.432432432432,4234.19958419958,17700,1095.1844425938,15300000
"64","Illinois",1981,11340000,126.349206349206,6177.67195767196,800.537918871252,5377.13403880071,12100,16660.4808118421,2.6e+07
