"Year (time)","Geographic Area Name (NAME)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Meaning of Category (CATEGORY_LABEL)","Item Code (ITEM_CODE)","Meaning of Item Code (ITEM_CODE_LABEL)","Amount ($1,000) (AMOUNT)"
"2012","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,549,649"
"2013","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,827,276"
"2014","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,771,208"
"2015","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,514,457"
"2016","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,413,466"
"2017","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,662,187"
"2018","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,725,172"
"2019","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,909,831"
"2020","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,946,885"
"2021","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,993,487"
"2022","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","2,103,260"
"2023","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","2,521,555"
"2024","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","2,915,287"
"2012","Alabama","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,427"
"2013","Alabama","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,625"
"2014","Alabama","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","8,438"
"2015","Alabama","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,363"
"2016","Alabama","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","5,346"
"2017","Alabama","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,520"
"2018","Alabama","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","5,833"
"2019","Alabama","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","5,839"
"2020","Alabama","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","6,774"
"2021","Alabama","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","5,862"
"2022","Alabama","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,879"
"2023","Alabama","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","9,296"
"2024","Alabama","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","10,696"
"2012","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","25,679"
"2013","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","26,808"
"2014","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","27,611"
"2015","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","30,937"
"2016","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","23,037"
"2017","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","25,836"
"2018","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","23,883"
"2019","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","26,536"
"2020","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","27,854"
"2021","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","30,413"
"2022","Alaska","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","19,338"
